request_id,type,ttft_ms,tokens_received,total_ms,error
89,short,174.18796400306746,128,6163.380671001505,
95,short,230.51211499841884,128,6259.415172000445,
36,short,233.65254700183868,128,6266.535904000193,
34,short,233.41424400132382,128,6267.068402001314,
90,short,230.79723799673957,128,6264.290289997007,
93,short,230.10680500010494,128,6264.362566998898,
37,short,233.4668719995534,128,6267.800596000598,
91,short,230.4179849998036,128,6264.994777000538,
92,short,230.39046399935614,128,6265.146797999478,
41,short,233.7695079986588,128,6268.426636997901,
40,short,233.25414300052216,128,6268.7438700013445,
33,short,233.6452189992997,128,6269.38369599884,
42,short,233.68440299964277,128,6269.637718000013,
38,short,232.73818500092602,128,6270.0694459999795,
39,short,233.39812500125845,128,6270.25235399924,
94,short,230.02371700204094,128,6267.391064000549,
35,short,234.00781300006201,128,6271.251701997244,
59,short,276.46321399879525,128,6308.575431998179,
43,short,278.5723529996176,128,6310.022958001355,
63,short,277.4998639979458,128,6309.023249999882,
56,short,278.00237300107256,128,6309.715929000959,
65,short,277.4777599988738,128,6312.17194400233,
53,short,278.3941349989618,128,6313.220639000065,
44,short,279.5533160024206,128,6314.1238810021605,
64,short,275.62738400229136,128,6313.135554999462,
58,short,276.4297350004199,128,6313.771524000913,
4,short,279.6059989996138,128,6317.065529998217,
3,short,279.7211549986969,128,6317.339263998292,
62,short,277.29092400113586,128,6314.11743800345,
10,short,280.3854029989452,128,6317.3875879983825,
6,short,281.08224099923973,128,6317.901170998084,
61,short,277.91545700165443,128,6314.899624001555,
48,short,277.1084029991471,128,6316.034668998327,
57,short,276.69647299990174,128,6315.737328997784,
45,short,278.43883100285893,128,6316.687698003079,
7,short,280.6627350000781,128,6319.098027001019,
50,short,278.47938000195427,128,6316.921388002811,
9,short,280.9358910017181,128,6319.461376999243,
8,short,281.05071800018777,128,6319.783475999429,
60,short,278.0853879994538,128,6316.960356998607,
49,short,279.2006849995232,128,6317.9120589993545,
1,short,282.2711970002274,128,6321.163186999911,
46,short,277.15083500152105,128,6318.563492000976,
54,short,278.1306079996284,128,6318.577315996663,
2,short,281.1715949974314,128,6321.833345999039,
11,short,280.7858660016791,128,6321.473873002105,
47,short,278.8052920004702,128,6319.639900000766,
51,short,278.67006399901584,128,6319.669083997724,
5,short,281.3111530012975,128,6322.498612000345,
55,short,278.76100199864595,128,6319.857407997915,
52,short,279.1164589980326,128,6320.369781999034,
25,short,329.8087379989738,128,6350.417755998933,
24,short,329.9051319991122,128,6350.942822999059,
86,short,321.79538299897104,128,6347.768401999929,
82,short,326.6194979987631,128,6348.41373800009,
26,short,329.84694299739203,128,6352.005286000349,
0,short,332.90704200044274,128,6355.406452999887,
72,short,327.2571429988602,128,6352.473258997634,
68,short,323.1884289998561,128,6352.924115999485,
17,short,326.123976999952,128,6356.041917999391,
76,short,327.0191170013277,128,6352.890897000179,
87,short,326.37398499718984,128,6352.427008998347,
31,short,327.0001509990834,128,6355.86721800064,
15,short,326.3772499994957,128,6357.033559001138,
77,short,322.81542000055197,128,6353.651157001877,
27,short,329.8958939994918,128,6356.745420998777,
23,short,327.52764799806755,128,6357.167002999631,
69,short,324.927038000169,128,6354.720899998938,
85,short,322.3869100002048,128,6354.008604001137,
70,short,323.27468099902035,128,6355.076969997754,
75,short,324.5953350015043,128,6354.971536999074,
12,short,330.8302020013798,128,6358.884494999074,
88,short,323.8477150007384,128,6354.696006001177,
81,short,326.281025998469,128,6355.357615000685,
14,short,330.7613289980509,128,6359.409618999052,
29,short,326.7579149978701,128,6358.761199997389,
19,short,327.2571670022444,128,6359.490655002446,
