Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,173,0,19,23.301350994204167,11.655354999675183,88.72841099946527,0.0,0.2885232196501426,0.0,19,21,26,29,37,49,62,73,89,89,89
POST,/long_prompt_short,97,0,22,25.874337340432362,13.27675900029135,69.93674100158387,0.0,0.16177313471713198,0.0,22,25,31,32,39,49,65,70,70,70,70
POST,/medium,271,0,18,27.956864985257084,11.187231000803877,1039.3955899999128,0.0,0.4519641186427089,0.0,18,22,26,29,44,66,83,94,1000,1000,1000
POST,/short,189,0,19,28.60234224326199,10.920181997789769,383.16164100251626,0.0,0.3152074480570922,0.0,19,23,27,32,40,62,220,300,380,380,380
POST,/short_prompt_long,161,0,18,24.213116577529437,11.023032002412947,359.6818140031246,0.0,0.2685100483449304,0.0,18,21,24,26,34,52,70,90,360,360,360
TTFT,ttft/long,212,0,220.0,221.72394685384342,159.4321709999349,374.716215999797,0.0,0.35356602639208223,0.0,220,230,240,240,250,290,320,340,370,370,370
TTFT,ttft/long_prompt_short,97,0,220.0,224.9842293402759,139.44363599875942,372.11880600079894,0.0,0.16177313471713198,0.0,220,240,240,250,260,290,360,370,370,370,370
TTFT,ttft/medium,290,0,220.0,220.7459148206469,134.51980399986496,1368.091028998606,0.0,0.48365163987596155,0.0,220,230,240,240,250,260,320,350,1400,1400,1400
TTFT,ttft/short,192,0,210.0,221.61752169264068,122.22335199840018,572.918056997878,0.0,0.32021074088339524,0.0,220,230,240,240,250,270,430,570,570,570,570
TTFT,ttft/short_prompt_long,196,0,210.0,217.17915116318997,124.47880000036093,555.8619709991035,0.0,0.32688179798513267,0.0,220,230,230,240,250,260,280,360,560,560,560
,Aggregated,1878,0,170.0,128.53266740040686,10.920181997789769,1368.091028998606,0.0,3.1320613092657097,0.0,170,210,220,230,240,250,290,340,1000,1400,1400
