Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774654453,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774654454,5,,Aggregated,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,5,0,190.0,183.75476980072563,160.839426000166,194.54370600215043,0.0
1774654455,10,,Aggregated,0.000000,0.000000,160,190,190,190,190,190,190,190,190,190,190,10,0,150.0,166.91848570008005,149.17226399848005,194.54370600215043,0.0
1774654456,15,,Aggregated,5.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,16,0,190.0,168.17214481261544,81.36606199695962,194.54370600215043,0.0
1774654457,20,,Aggregated,5.000000,0.000000,170,190,190,190,190,190,190,190,190,190,190,24,0,160.0,154.8344024167818,14.152195999486139,194.54370600215043,0.0
1774654458,25,,Aggregated,5.000000,0.000000,170,190,190,190,270,270,280,280,280,280,280,31,0,170.0,172.14154109681277,14.152195999486139,275.13545699912356,0.0
1774654459,30,,Aggregated,5.250000,0.000000,190,190,230,230,270,270,280,280,280,280,280,38,0,170.0,175.19043344739322,14.152195999486139,275.13545699912356,0.0
1774654460,35,,Aggregated,5.800000,0.000000,190,190,210,230,270,270,280,280,280,280,280,45,0,190.0,172.7723780888482,14.152195999486139,275.13545699912356,0.0
1774654461,40,,Aggregated,6.166667,0.000000,190,210,230,240,250,270,270,280,280,280,280,55,0,190.0,175.86475090912162,14.152195999486139,275.13545699912356,0.0
1774654462,45,,Aggregated,6.285714,0.000000,190,210,230,230,250,270,270,280,280,280,280,63,0,190.0,176.60333206350472,14.152195999486139,275.13545699912356,0.0
1774654463,50,,Aggregated,6.500000,0.000000,190,220,220,230,250,270,270,280,280,280,280,72,0,190.0,175.89717488888508,14.152195999486139,275.13545699912356,0.0
1774654464,55,,Aggregated,6.666667,0.000000,190,220,230,230,250,270,270,280,280,280,280,78,0,190.0,179.0703482435138,14.152195999486139,275.13545699912356,0.0
1774654465,60,,Aggregated,6.800000,0.000000,190,220,230,240,270,350,360,360,360,360,360,88,0,190.0,185.89449960208267,14.152195999486139,355.46054799851845,0.0
1774654466,65,,Aggregated,7.200000,0.000000,190,220,240,250,310,350,360,360,360,360,360,98,0,190.0,187.31324903043912,14.152195999486139,355.46054799851845,0.0
1774654467,70,,Aggregated,7.200000,0.000000,190,230,240,250,280,310,360,360,360,360,360,105,0,190.0,188.54533449502057,14.152195999486139,355.46054799851845,0.0
1774654468,75,,Aggregated,7.400000,0.000000,210,230,240,250,270,310,360,360,360,360,360,114,0,190.0,189.4702289208541,14.152195999486139,355.46054799851845,0.0
1774654469,80,,Aggregated,8.400000,0.000000,210,230,250,250,270,310,360,360,360,360,360,121,0,210.0,190.81659876015195,14.152195999486139,355.46054799851845,0.0
1774654470,85,,Aggregated,8.100000,0.000000,210,230,250,250,310,310,360,360,360,360,360,130,0,210.0,194.54786185370511,14.152195999486139,355.46054799851845,0.0
1774654471,90,,Aggregated,8.300000,0.000000,210,230,250,260,310,310,360,360,360,360,360,141,0,210.0,194.5378906381738,14.152195999486139,355.46054799851845,0.0
1774654472,95,,Aggregated,7.900000,0.000000,210,240,250,270,310,320,350,360,360,360,360,153,0,210.0,197.4360992155638,14.152195999486139,355.46054799851845,0.0
1774654473,100,,Aggregated,8.100000,0.000000,210,240,250,270,310,320,350,360,360,360,360,162,0,210.0,199.14069299375114,14.152195999486139,355.46054799851845,0.0
1774654474,105,,Aggregated,8.300000,0.000000,210,240,260,300,310,350,600,600,610,610,610,169,0,210.0,209.80494449104728,14.152195999486139,610.6520210014423,0.0
1774654475,110,,Aggregated,8.500000,0.000000,220,250,270,300,320,350,600,600,610,610,610,176,0,220.0,213.84868624994107,14.152195999486139,610.6520210014423,0.0
1774654476,115,,Aggregated,8.500000,0.000000,220,250,290,300,320,350,600,600,610,610,610,183,0,220.0,215.30369485785218,14.152195999486139,610.6520210014423,0.0
1774654477,120,,Aggregated,8.800000,0.000000,220,250,300,310,320,350,600,600,610,610,610,190,0,220.0,215.39284717885158,14.152195999486139,610.6520210014423,0.0
1774654478,125,,Aggregated,8.700000,0.000000,220,250,300,310,330,360,590,600,610,610,610,203,0,220.0,219.4040616994091,14.152195999486139,610.6520210014423,0.0
1774654479,130,,Aggregated,8.000000,0.000000,220,260,300,310,330,360,590,600,610,610,610,214,0,220.0,219.3128309204397,14.152195999486139,610.6520210014423,0.0
1774654480,135,,Aggregated,8.000000,0.000000,220,250,300,310,330,360,590,600,610,610,610,215,0,220.0,219.3194300277926,14.152195999486139,610.6520210014423,0.0
1774654481,140,,Aggregated,8.300000,0.000000,150,220,250,300,340,470,980,1900,2000,2000,2000,368,0,150.0,206.74930638301703,11.55340600234922,1965.1567459986836,0.0
1774654482,145,,Aggregated,8.300000,0.000000,150,220,250,300,340,470,980,1900,2000,2000,2000,378,0,150.0,203.3143512987971,11.55340600234922,1965.1567459986836,0.0
1774654483,150,,Aggregated,8.300000,0.000000,150,220,250,300,340,470,980,1900,2000,2000,2000,378,0,150.0,203.3143512987971,11.55340600234922,1965.1567459986836,0.0
1774654484,155,,Aggregated,8.300000,0.000000,150,220,250,300,340,470,980,1900,2000,2000,2000,378,0,150.0,203.3143512987971,11.55340600234922,1965.1567459986836,0.0
