Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774652359,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774652360,2,,Aggregated,0.000000,0.000000,150,150,150,150,150,150,150,150,150,150,150,2,0,120.0,131.90916900020966,115.93778699898394,147.88055100143538,0.0
1774652361,4,,Aggregated,0.000000,0.000000,120,120,150,150,150,150,150,150,150,150,150,4,0,120.0,126.61605050016078,115.93778699898394,147.88055100143538,0.0
1774652362,6,,Aggregated,0.000000,0.000000,120,120,120,120,150,150,150,150,150,150,150,6,0,120.0,117.30124899925916,98.42756499710958,147.88055100143538,0.0
1774652363,8,,Aggregated,2.000000,0.000000,120,120,140,140,150,150,150,150,150,150,150,9,0,120.0,114.07938544450897,47.234010002284776,147.88055100143538,0.0
1774652364,10,,Aggregated,2.000000,0.000000,120,130,140,140,140,150,150,150,150,150,150,12,0,120.0,116.15029091687272,47.234010002284776,147.88055100143538,0.0
1774652365,12,,Aggregated,2.250000,0.000000,120,130,140,140,140,150,150,150,150,150,150,16,0,120.0,112.18690831242384,12.186632000521058,147.88055100143538,0.0
1774652366,14,,Aggregated,2.400000,0.000000,120,130,140,140,140,150,150,150,150,150,150,20,0,120.0,110.47573474988894,12.186632000521058,147.88055100143538,0.0
1774652367,16,,Aggregated,2.500000,0.000000,120,130,130,140,140,140,150,150,150,150,150,25,0,120.0,100.32155479988432,12.186632000521058,147.88055100143538,0.0
1774652368,18,,Aggregated,2.714286,0.000000,120,130,130,140,140,140,150,150,150,150,150,30,0,120.0,101.37676556660153,12.186632000521058,147.88055100143538,0.0
1774652369,20,,Aggregated,2.875000,0.000000,120,130,130,140,140,140,150,150,150,150,150,33,0,120.0,104.23735378781478,12.186632000521058,147.88055100143538,0.0
1774652370,22,,Aggregated,2.875000,0.000000,120,130,140,140,140,140,150,150,150,150,150,36,0,120.0,106.6524463610929,12.186632000521058,147.88055100143538,0.0
1774652371,24,,Aggregated,3.000000,0.000000,120,130,140,140,140,190,190,190,190,190,190,38,0,120.0,111.14491002626892,12.186632000521058,192.7121549997537,0.0
1774652372,26,,Aggregated,3.200000,0.000000,130,140,140,140,150,190,190,190,190,190,190,40,0,120.0,112.85244590008006,12.186632000521058,192.7121549997537,0.0
1774652373,28,,Aggregated,3.400000,0.000000,130,140,140,140,150,150,190,190,190,190,190,43,0,130.0,112.51525058147773,12.186632000521058,192.7121549997537,0.0
1774652374,30,,Aggregated,3.400000,0.000000,130,140,140,140,150,170,190,190,190,190,190,45,0,130.0,114.99097906667481,12.186632000521058,192.7121549997537,0.0
1774652375,32,,Aggregated,3.400000,0.000000,130,140,140,150,160,170,190,190,190,190,190,50,0,130.0,116.28324363999127,12.186632000521058,192.7121549997537,0.0
1774652376,34,,Aggregated,3.400000,0.000000,130,140,150,150,170,170,190,190,190,190,190,52,0,130.0,118.4097558846658,12.186632000521058,192.7121549997537,0.0
1774652377,36,,Aggregated,3.300000,0.000000,130,140,150,150,170,170,190,190,190,190,190,54,0,130.0,120.08456279639816,12.186632000521058,192.7121549997537,0.0
1774652378,38,,Aggregated,3.300000,0.000000,130,140,150,160,170,170,190,190,190,190,190,58,0,130.0,118.33302655175994,12.186632000521058,192.7121549997537,0.0
1774652379,40,,Aggregated,3.100000,0.000000,130,140,150,160,170,180,190,190,190,190,190,63,0,130.0,119.65389047627613,12.186632000521058,192.7121549997537,0.0
1774652380,42,,Aggregated,3.100000,0.000000,140,140,150,160,170,180,190,190,190,190,190,66,0,130.0,119.62698722747905,12.186632000521058,192.7121549997537,0.0
1774652381,44,,Aggregated,2.800000,0.000000,140,150,160,160,170,180,190,190,190,190,190,71,0,140.0,121.32153764807146,12.186632000521058,192.7121549997537,0.0
1774652382,46,,Aggregated,3.000000,0.000000,140,150,160,160,180,180,190,200,200,200,200,76,0,140.0,120.98116490807642,12.186632000521058,204.1777290032769,0.0
1774652383,48,,Aggregated,3.000000,0.000000,140,150,160,170,180,190,200,200,200,200,200,82,0,140.0,121.40508502449026,12.186632000521058,204.1777290032769,0.0
1774652384,50,,Aggregated,3.300000,0.000000,140,150,160,170,180,200,200,200,200,200,200,86,0,140.0,122.27965473264408,12.186632000521058,204.1777290032769,0.0
1774652385,50,,Aggregated,3.500000,0.000000,140,150,160,170,180,200,200,200,200,200,200,88,0,140.0,123.0187587500702,12.186632000521058,204.1777290032769,0.0
1774652386,50,,Aggregated,3.500000,0.000000,140,150,160,170,180,200,200,200,200,200,200,88,0,140.0,123.0187587500702,12.186632000521058,204.1777290032769,0.0
1774652387,50,,Aggregated,3.500000,0.000000,140,150,160,170,180,200,200,200,200,200,200,88,0,140.0,123.0187587500702,12.186632000521058,204.1777290032769,0.0
1774652388,50,,Aggregated,3.600000,0.000000,140,150,160,170,180,200,200,200,200,200,200,90,0,140.0,120.89446912230213,12.186632000521058,204.1777290032769,0.0
1774652389,50,,Aggregated,3.400000,0.000000,140,150,160,170,180,200,200,200,200,200,200,91,0,140.0,121.03292137372581,12.186632000521058,204.1777290032769,0.0
1774652390,50,,Aggregated,3.200000,0.000000,140,150,160,170,180,200,200,200,200,200,200,92,0,140.0,121.5657985979345,12.186632000521058,204.1777290032769,0.0
1774652391,50,,Aggregated,3.200000,0.000000,140,150,160,170,180,200,200,200,200,200,200,92,0,140.0,121.5657985979345,12.186632000521058,204.1777290032769,0.0
1774652392,50,,Aggregated,3.200000,0.000000,140,150,160,170,180,200,200,200,200,200,200,92,0,140.0,121.5657985979345,12.186632000521058,204.1777290032769,0.0
1774652393,50,,Aggregated,3.200000,0.000000,140,150,160,170,180,200,200,200,200,200,200,92,0,140.0,121.5657985979345,12.186632000521058,204.1777290032769,0.0
1774652394,50,,Aggregated,3.200000,0.000000,140,150,160,170,180,200,200,200,200,200,200,92,0,140.0,121.5657985979345,12.186632000521058,204.1777290032769,0.0
1774652395,50,,Aggregated,1.900000,0.000000,140,150,160,170,180,200,200,200,200,200,200,93,0,140.0,120.49855933344256,12.186632000521058,204.1777290032769,0.0
1774652396,50,,Aggregated,0.800000,0.000000,140,150,160,170,180,200,200,200,200,200,200,94,0,140.0,119.42408258518627,12.186632000521058,204.1777290032769,0.0
1774652397,50,,Aggregated,0.600000,0.000000,140,150,170,170,180,200,200,200,200,200,200,96,0,140.0,120.40849564592311,12.186632000521058,204.1777290032769,0.0
1774652398,50,,Aggregated,0.600000,0.000000,140,150,170,170,180,200,200,200,200,200,200,96,0,140.0,120.40849564592311,12.186632000521058,204.1777290032769,0.0
1774652399,50,,Aggregated,0.600000,0.000000,140,150,170,170,180,200,200,200,200,200,200,96,0,140.0,120.40849564592311,12.186632000521058,204.1777290032769,0.0
1774652400,50,,Aggregated,0.800000,0.000000,140,150,160,170,180,200,200,200,200,200,200,97,0,140.0,119.56919208255995,12.186632000521058,204.1777290032769,0.0
1774652401,50,,Aggregated,0.600000,0.000000,140,150,160,170,180,200,200,200,200,200,200,99,0,140.0,118.75435856574879,12.186632000521058,204.1777290032769,0.0
1774652402,50,,Aggregated,0.500000,0.000000,140,150,160,170,180,190,200,200,200,200,200,102,0,140.0,117.30802263734992,12.186632000521058,204.1777290032769,0.0
1774652403,50,,Aggregated,0.500000,0.000000,140,150,160,170,180,190,200,200,200,200,200,104,0,140.0,116.73224820203988,12.186632000521058,204.1777290032769,0.0
1774652404,50,,Aggregated,0.800000,0.000000,140,150,160,170,180,190,200,200,200,200,200,107,0,140.0,115.4023200561764,12.186632000521058,204.1777290032769,0.0
1774652405,50,,Aggregated,1.200000,0.000000,140,150,160,170,180,200,200,200,200,200,200,109,0,140.0,116.48761205514839,12.186632000521058,204.1777290032769,0.0
1774652406,50,,Aggregated,1.300000,0.000000,140,150,160,170,180,200,200,200,200,200,200,111,0,140.0,115.79743736948733,12.186632000521058,204.1777290032769,0.0
1774652407,50,,Aggregated,1.500000,0.000000,140,150,160,170,180,200,200,200,200,200,200,114,0,140.0,114.91158500885241,12.186632000521058,204.1777290032769,0.0
1774652408,50,,Aggregated,1.700000,0.000000,140,150,160,170,180,200,200,200,200,200,200,116,0,140.0,115.6374711638599,12.186632000521058,204.1777290032769,0.0
1774652409,50,,Aggregated,1.700000,0.000000,140,150,160,170,180,200,200,200,200,200,200,117,0,140.0,114.79907031631835,12.186632000521058,204.1777290032769,0.0
1774652410,50,,Aggregated,1.800000,0.000000,140,150,160,170,180,200,200,200,200,200,200,119,0,140.0,114.44327479000071,11.296774999209447,204.1777290032769,0.0
1774652411,50,,Aggregated,2.100000,0.000000,140,150,160,170,180,200,200,200,200,200,200,120,0,140.0,114.96313322507679,11.296774999209447,204.1777290032769,0.0
1774652412,50,,Aggregated,2.100000,0.000000,140,150,160,170,180,200,200,200,200,200,200,120,0,140.0,114.96313322507679,11.296774999209447,204.1777290032769,0.0
1774652413,50,,Aggregated,2.100000,0.000000,140,150,160,170,180,190,200,200,200,200,200,122,0,140.0,113.41077875417274,11.296774999209447,204.1777290032769,0.0
1774652414,50,,Aggregated,2.100000,0.000000,140,150,160,170,180,190,200,200,200,200,200,123,0,140.0,112.63393450414098,11.296774999209447,204.1777290032769,0.0
1774652415,50,,Aggregated,1.700000,0.000000,140,150,160,170,180,190,200,200,200,200,200,127,0,140.0,112.55808148823456,11.296774999209447,204.1777290032769,0.0
