Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,641,0,13,1226.2564921153619,2.863662997697247,5772.105444000772,35.783151326053044,5.569006343748316,0.0,13,33,730,5000,5000,5000,5000,5200,5800,5800,5800
POST,/long_prompt_short,332,0,18,1249.0112131656722,4.65280500066001,5648.460642001737,34.54819277108434,2.884415142159814,0.0,18,35,2500,5000,5000,5000,5100,5100,5600,5600,5600
POST,/medium,967,0,15,967.4077820806716,2.34560199896805,5636.86816399786,30.432264736297828,8.401293501411265,0.0,15,31,91,2200,5000,5000,5000,5000,5600,5600,5600
POST,/short,617,0,19,286.23421962723995,2.2489240000140853,5035.304237000673,12.881685575364667,5.360494405760859,0.0,19,27,34,38,86,3400,4500,4800,5000,5000,5000
POST,/short_prompt_long,661,0,15,1299.8376468017764,2.191519997722935,5641.397907002101,36.02874432677761,5.742766292071196,0.0,15,33,3000,5000,5000,5000,5000,5100,5600,5600,5600
TTFT,ttft/long,49,0,470.0,1254.37966785704,123.74777900186018,5402.646679998725,0.0,0.42571187339105687,0.0,470,1800,1900,1900,2100,5300,5400,5400,5400,5400,5400
TTFT,ttft/long_prompt_short,36,0,1300.0,1576.0978699722223,164.8779379975167,4989.794886998425,0.0,0.3127679069811847,0.0,1800,1900,2800,3000,3700,4400,5000,5000,5000,5000,5000
TTFT,ttft/medium,203,0,310.0,1589.9442252019148,13.621144000353524,5975.0436180002,0.0,1.7636634754772356,0.0,310,1800,3100,3600,4400,4700,5100,5800,6000,6000,6000
TTFT,ttft/short,408,0,250.0,655.9457472819714,14.312300998426508,5409.809864999261,0.0,3.544702945786759,0.0,250,270,300,320,1800,4300,4800,5000,5400,5400,5400
TTFT,ttft/short_prompt_long,47,0,320.0,1253.912170064181,144.06600300208083,5349.007352000626,0.0,0.40833587855876885,0.0,320,1800,1900,2500,3300,3900,5300,5300,5300,5300,5300
,Aggregated,3961,0,24,994.573895273663,2.191519997722935,5975.0436180002,24.13481444079778,34.413157765346455,0.0,24,210,300,1900,5000,5000,5000,5100,5800,6000,6000
