Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,177,0,5000.0,3694.562021881301,11.778189000324346,5067.296834999979,26.638418079096045,0.4933477544602211,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5100,5100,5100
POST,/long_prompt_short,88,0,1900.0,2453.1388998181637,13.60265299990715,5029.484261000107,13.511363636363637,0.24528023950564665,0.0,1900,4800,5000,5000,5000,5000,5000,5000,5000,5000,5000
POST,/medium,283,0,48,1390.8030465582888,11.102621999270923,5049.663130000226,4.780918727915195,0.7887989520465681,0.0,48,1700,2900,3300,5000,5000,5000,5000,5000,5000,5000
POST,/short,197,0,18,245.92598347208613,11.04099700023653,5005.942899000729,0.41624365482233505,0.5490932634387772,0.0,18,21,27,31,87,2200,3800,5000,5000,5000,5000
POST,/short_prompt_long,157,0,5000.0,3548.9896306241967,11.40968000072462,5566.594179000276,24.547770700636942,0.43760224548166504,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5600,5600,5600
TTFT,ttft/long,88,0,1200.0,1715.3763528181735,131.9853430004514,5082.321418999527,0.0,0.24528023950564665,0.0,1300,2300,2900,3500,4000,4700,5000,5100,5100,5100,5100
TTFT,ttft/long_prompt_short,60,0,570.0,1421.392721150005,158.3146390003094,5021.668932000466,0.0,0.16723652693566818,0.0,660,1800,2300,2700,4200,4700,4700,5000,5000,5000,5000
TTFT,ttft/medium,265,0,230.0,1116.4616276717015,143.21693900001264,5018.168372999753,0.0,0.7386279939658678,0.0,230,800,2100,2600,3400,4100,4800,5000,5000,5000,5000
TTFT,ttft/short,198,0,210.0,380.4533143131148,131.81794499996613,4045.847241000047,0.0,0.5518805388877049,0.0,210,220,230,230,290,2300,3600,4000,4000,4000,4000
TTFT,ttft/short_prompt_long,95,0,1700.0,1863.1747890526483,114.53788300059387,5151.003461999608,0.0,0.26479116764814126,0.0,1700,2800,3400,3600,4400,4700,5100,5200,5200,5200,5200
,Aggregated,1608,0,230.0,1650.1742094707581,11.04099700023653,5566.594179000276,6.960820895522388,4.481938921875907,0.0,230,2200,3400,4400,5000,5000,5000,5000,5200,5600,5600
