Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,55,0,19,24.185305218253976,11.430522999944515,69.40015500003938,0.0,0.1534876310158381,0.0,19,20,25,27,48,59,60,69,69,69,69
POST,/long_prompt_short,32,0,22,26.289221968653465,15.54449399918667,88.78913799981092,0.0,0.08930189440921489,0.0,22,24,25,28,36,57,89,89,89,89,89
POST,/medium,97,0,18,23.706746577303907,10.969250000016473,137.13504600036686,0.0,0.2706963674279326,0.0,18,19,21,23,51,70,100,140,140,140,140
POST,/short,106,0,18,23.280874320772575,10.979226000017661,129.42435500008287,0.0,0.2958125252305243,0.0,18,19,21,23,40,52,84,120,130,130,130
POST,/short_prompt_long,58,0,18,25.711711327670038,10.586483000224689,129.45014599972637,0.0,0.16185968361670197,0.0,18,19,21,22,70,83,130,130,130,130,130
TTFT,ttft/long,70,0,170.0,167.89646384283645,125.4402550002851,259.3426000003092,0.0,0.19534789402015756,0.0,170,180,180,190,190,210,230,260,260,260,260
TTFT,ttft/long_prompt_short,32,0,170.0,172.97738600009893,128.58094200055348,257.81672300036007,0.0,0.08930189440921489,0.0,180,180,180,190,200,220,260,260,260,260,260
TTFT,ttft/medium,106,0,160.0,165.41188366038526,117.20288400010759,258.13174700033414,0.0,0.2958125252305243,0.0,160,170,180,180,190,220,230,240,260,260,260
TTFT,ttft/short,106,0,160.0,160.86540423583637,126.77079300010519,260.5682009998418,0.0,0.2958125252305243,0.0,160,160,170,180,190,210,230,230,260,260,260
TTFT,ttft/short_prompt_long,73,0,160.0,164.46220942460258,130.79537999965396,260.0946530001238,0.0,0.20371994662102147,0.0,160,170,180,180,190,220,230,260,260,260,260
,Aggregated,735,0,130.0,98.37988553605891,10.586483000224689,260.5682009998418,0.0,2.0511528872116545,0.0,130,150,160,170,180,190,230,230,260,260,260
