Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,66,0,20,440.41810066664766,11.309695999443647,5012.790413999937,1.8636363636363635,0.1838275319741307,0.0,20,28,52,64,1100,4500,5000,5000,5000,5000,5000
POST,/long_prompt_short,62,0,22,190.5184889193122,13.00226900002599,5015.240740000081,0.6612903225806451,0.172686469430244,0.0,22,25,30,32,46,770,3400,5000,5000,5000,5000
POST,/medium,152,0,18,73.59612284208077,10.992344000442245,3739.2388830003256,0.0,0.423360376667695,0.0,18,22,29,36,64,100,680,1500,3700,3700,3700
POST,/short,90,0,18,22.260731955541107,10.687372999200306,84.59520599990356,0.0,0.250673907237451,0.0,18,21,23,24,29,65,77,85,85,85,85
POST,/short_prompt_long,81,0,25,407.19144611105065,10.505646999263263,5003.9787360001355,1.0123456790123457,0.22560651651370586,0.0,25,45,66,79,1600,3100,5000,5000,5000,5000,5000
TTFT,ttft/long,85,0,200.0,366.80786994117676,152.379787999962,4633.327919000294,0.0,0.23674757905759258,0.0,200,220,220,250,290,1300,4600,4600,4600,4600,4600
TTFT,ttft/long_prompt_short,61,0,210.0,291.89261729502726,163.29546499946446,3540.3958449996935,0.0,0.16990120379427232,0.0,210,220,220,230,260,270,1400,3500,3500,3500,3500
TTFT,ttft/medium,161,0,190.0,241.66713836023388,115.81429000034404,3919.9112300002525,0.0,0.4484277673914401,0.0,190,210,210,220,250,260,890,1700,3900,3900,3900
TTFT,ttft/short,93,0,190.0,190.8901119462317,133.90872400032094,263.60611399923073,0.0,0.259029704145366,0.0,190,200,200,200,220,250,260,260,260,260,260
TTFT,ttft/short_prompt_long,112,0,200.0,384.2380198482098,123.68125300054089,3803.0403389993808,0.0,0.3119497512288279,0.0,200,210,230,240,260,1800,3300,3500,3800,3800,3800
,Aggregated,963,0,170.0,244.78950275179588,10.505646999263263,5015.240740000081,0.2554517133956386,2.6822108074407254,0.0,170,190,200,210,250,670,3100,4400,5000,5000,5000
