Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,74,0,20,28.954368851348566,11.590285999773187,164.72780100048112,0.0,0.2063255068272067,0.0,20,22,27,28,62,89,95,160,160,160,160
POST,/long_prompt_short,39,0,21,26.95515412818704,13.283709999996063,100.0580310001169,0.0,0.10873911846298731,0.0,21,22,24,24,60,99,100,100,100,100,100
POST,/medium,124,0,18,23.085264999985334,10.85004000015033,165.31389000010677,0.0,0.3457346330618058,0.0,18,19,20,21,30,52,96,160,170,170,170
POST,/short,92,0,18,27.302596891282203,10.49271099964244,179.04079500021908,0.0,0.2565127922716624,0.0,18,21,24,28,55,66,160,180,180,180,180
POST,/short_prompt_long,60,0,19,24.632391649978064,11.84471500073414,92.68222999980935,0.0,0.16729095148151896,0.0,19,22,24,26,49,75,84,93,93,93,93
TTFT,ttft/long,95,0,180.0,188.4239357578592,137.53793700016104,782.860141999663,0.0,0.26487733984573836,0.0,180,190,190,200,220,240,280,780,780,780,780
TTFT,ttft/long_prompt_short,42,0,180.0,189.11421121425693,154.860457999348,263.5757409998405,0.0,0.11710366603706326,0.0,190,200,200,200,220,260,260,260,260,260,260
TTFT,ttft/medium,130,0,180.0,176.84242666926087,114.98358500011818,281.07126700069784,0.0,0.3624637282099577,0.0,180,180,190,200,220,220,260,280,280,280,280
TTFT,ttft/short,93,0,180.0,180.488035860259,139.91405200067675,277.7749130000302,0.0,0.2593009747963544,0.0,180,180,190,200,210,260,280,280,280,280,280
TTFT,ttft/short_prompt_long,80,0,180.0,180.95551908747893,142.17576699957135,256.8145089999234,0.0,0.2230546019753586,0.0,180,190,200,200,220,250,250,260,260,260,260
,Aggregated,829,0,150.0,108.7341914065086,10.49271099964244,782.860141999663,0.0,2.3114033129696536,0.0,150,170,180,180,200,220,250,260,780,780,780
