Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,36,0,19,23.90385849994598,11.668817999634484,122.0038139999815,0.0,0.10058122205807135,0.0,19,20,21,21,24,78,120,120,120,120,120
POST,/long_prompt_short,24,0,22,23.34143616671251,13.712446999761596,70.22715600032825,0.0,0.06705414803871423,0.0,22,24,25,25,27,28,70,70,70,70,70
POST,/medium,64,0,18,23.00042159374982,11.286483000276348,89.53847600014342,0.0,0.1788110614365713,0.0,18,19,22,22,42,73,86,90,90,90,90
POST,/short,41,0,18,24.037154634132136,10.661161999905744,96.27531500018449,0.0,0.11455083623280349,0.0,18,20,20,22,24,73,96,96,96,96,96
POST,/short_prompt_long,35,0,18,27.501945542878406,11.004706000221631,116.26588499984791,0.0,0.09778729922312493,0.0,18,19,24,33,60,97,120,120,120,120,120
TTFT,ttft/long,51,0,130.0,140.09186166668215,111.96866699992825,216.2597309998091,0.0,0.14249006458226776,0.0,130,150,150,150,160,190,190,220,220,220,220
TTFT,ttft/long_prompt_short,24,0,140.0,144.98182170833238,116.36319699982778,211.31497899978058,0.0,0.06705414803871423,0.0,140,140,150,150,180,200,210,210,210,210,210
TTFT,ttft/medium,66,0,130.0,139.55925436364464,113.09821400027431,202.1348409998609,0.0,0.18439890710646414,0.0,130,140,150,150,180,190,200,200,200,200,200
TTFT,ttft/short,41,0,130.0,136.8602234146038,111.95131399972524,200.139179999951,0.0,0.11455083623280349,0.0,130,140,150,150,180,180,200,200,200,200,200
TTFT,ttft/short_prompt_long,39,0,140.0,143.17322358976105,112.34508600000481,209.89312199981214,0.0,0.10896299056291063,0.0,140,150,150,150,190,210,210,210,210,210,210
,Aggregated,421,0,120.0,85.2043613396675,10.661161999905744,216.2597309998091,0.0,1.1762415135124455,0.0,120,130,140,140,150,180,200,210,220,220,220
