Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,19,0,19,25.993129736817583,12.490321000313998,95.36260499999116,0.0,0.05311327797658823,0.0,19,20,21,23,86,95,95,95,95,95,95
POST,/long_prompt_short,27,0,22,25.917139703694744,13.363934999688354,92.45289000000412,0.0,0.07547676344041486,0.0,22,22,24,24,47,54,92,92,92,92,92
POST,/medium,41,0,18,20.341817658457487,10.97026499974163,84.3561269998645,0.0,0.11461286300211145,0.0,18,18,19,19,21,35,84,84,84,84,84
POST,/short,32,0,17,17.631963718770294,10.521303999666998,34.238938000271446,0.0,0.08945394185530649,0.0,17,18,19,19,21,22,34,34,34,34,34
POST,/short_prompt_long,30,0,17,18.80695149999762,12.094877999970777,66.02866399998675,0.0,0.08386307048934984,0.0,17,18,19,19,20,22,66,66,66,66,66
TTFT,ttft/long,26,0,120.0,123.15797192309219,101.02920600002108,204.99708199986344,0.0,0.07268132775743652,0.0,120,120,120,130,130,200,200,200,200,200,200
TTFT,ttft/long_prompt_short,27,0,120.0,130.24336937036827,111.92259300014484,193.74194200008787,0.0,0.07547676344041486,0.0,120,130,130,140,160,190,190,190,190,190,190
TTFT,ttft/medium,41,0,120.0,119.39524141464462,93.57199599980959,194.6779179997975,0.0,0.11461286300211145,0.0,120,120,120,120,130,180,190,190,190,190,190
TTFT,ttft/short,32,0,110.0,117.38391956251348,93.97037500002625,183.32466799984104,0.0,0.08945394185530649,0.0,110,120,120,120,130,180,180,180,180,180,180
TTFT,ttft/short_prompt_long,35,0,110.0,113.54912731426988,90.38693499996953,183.92295100011324,0.0,0.09784024890424148,0.0,110,120,120,120,130,160,180,180,180,180,180
,Aggregated,310,0,95,72.58214892902346,10.521303999666998,204.99708199986344,0.0,0.8665850617232816,0.0,95,110,120,120,130,130,180,190,200,200,200
