request_id,type,ttft_ms,tokens_received,total_ms,error
89,short,151.0246180005197,128,6085.326995002106,
33,short,209.88671600207454,128,6184.528558002057,
43,short,209.80200899794,128,6185.231162999116,
42,short,208.87830100036808,128,6185.583133999899,
41,short,209.04435299962643,128,6185.910107000382,
35,short,209.46013499997207,128,6186.648225000681,
40,short,209.31939699948998,128,6186.664290999033,
39,short,209.4742879999103,128,6187.056971000857,
95,short,206.7736250028247,128,6183.536661003018,
38,short,209.95110900184955,128,6187.5377770011255,
94,short,205.23136600240832,128,6184.031753000454,
91,short,207.27073899979587,128,6184.490157000255,
92,short,206.12032799908775,128,6186.175913000625,
37,short,210.41292500012787,128,6190.110253999592,
36,short,209.94250899821054,128,6190.645627997583,
34,short,210.47054700102308,128,6190.990704999422,
93,short,206.49754999976722,128,6187.350689000596,
90,short,206.95211500060395,128,6187.728015000175,
9,short,256.05126800292055,128,6232.226841002557,
62,short,253.45477700102492,128,6229.487638000137,
58,short,253.95563500205753,128,6229.994438002905,
47,short,254.63367799966363,128,6230.755427000986,
11,short,257.1604760014452,128,6233.047999001428,
45,short,256.4539640006842,128,6231.360115001735,
48,short,256.4068680003402,128,6232.351614999061,
44,short,256.78026100285933,128,6232.860594001977,
4,short,259.34853899889276,128,6235.330814997724,
57,short,257.4943580002582,128,6232.549440999719,
3,short,260.65365799877327,128,6235.880590997112,
6,short,255.3132729990466,128,6235.928885998874,
56,short,253.74560500131338,128,6233.428619001643,
55,short,253.14730199897895,128,6234.01552300129,
2,short,257.92664799882914,128,6237.311223998404,
54,short,255.0437170029909,128,6234.558158001164,
53,short,255.84253699707915,128,6234.842349997052,
1,short,259.12249099928886,128,6238.2485320013075,
52,short,256.82013699770323,128,6235.403837999911,
51,short,256.97499299712945,128,6235.673560997384,
50,short,257.2246929994435,128,6235.925225999381,
49,short,257.4888649978675,128,6236.175596997782,
5,short,260.2110830011952,128,6238.932740001474,
60,short,252.3567889984406,128,6236.072208001133,
59,short,252.53946000157157,128,6236.354649001441,
64,short,252.45734200143488,128,6236.713229998713,
10,short,255.78291900092154,128,6240.086402001907,
63,short,252.84765999822412,128,6237.2509999986505,
8,short,256.6463479997765,128,6240.630290001718,
61,short,253.96713999725762,128,6237.858107997454,
7,short,258.2225180012756,128,6241.244867000205,
46,short,257.0172769992496,128,6239.276248001261,
87,short,299.94047400032287,128,6267.6816070015775,
71,short,303.4400579999783,128,6269.773301999521,
69,short,304.1985219970229,128,6270.148452997091,
80,short,303.30954900273355,128,6269.399488999625,
67,short,304.386356001487,128,6270.722584999021,
86,short,298.10780700063333,128,6269.384397997783,
21,short,306.4453049992153,128,6273.781612999301,
77,short,300.77150700162747,128,6270.474753000599,
65,short,303.9569059983478,128,6271.673232997273,
32,short,302.09274199660285,128,6273.730077999062,
22,short,307.1007910002663,128,6274.53863700066,
20,short,304.3767269991804,128,6274.859739998647,
30,short,306.6608389999601,128,6274.483016997692,
17,short,304.56360599782784,128,6275.4521559982095,
29,short,306.7921900001238,128,6275.031441000465,
31,short,306.67401300161146,128,6275.973111001804,
25,short,307.106381002086,128,6276.612957000907,
13,short,307.8116679971572,128,6277.499981999426,
84,short,300.3359920003277,128,6273.132436999731,
74,short,303.26643499938655,128,6274.174677997507,
14,short,303.3375619997969,128,6278.069914998923,
66,short,304.768175999925,128,6275.288381002611,
68,short,304.68895500234794,128,6275.377935999131,
12,short,307.9285540006822,128,6278.925632999744,
73,short,303.42461399777676,128,6275.918340998032,
15,short,304.91134600015357,128,6280.272252999566,
18,short,306.81287300103577,128,6280.316382999445,
16,short,306.9663969981775,128,6280.65389800031,
81,short,300.7249479996972,128,6276.787396000145,
88,short,300.2136210016033,128,6276.476947001356,
28,short,307.0423989993287,128,6280.672302000312,
72,short,303.72137100130203,128,6278.294537001784,
0,short,309.55605399867636,128,6284.352446000412,
79,short,300.92436999984784,128,6278.090998999687,
26,short,304.3910070009588,128,6281.738910998683,
83,short,300.79600299723097,128,6278.248624999833,
82,short,300.76946599729126,128,6278.5277660004795,
70,short,301.8285040016053,128,6279.77322100196,
23,short,307.43368999901577,128,6282.754617001046,
24,short,306.7254130000947,128,6282.924775001447,
75,short,300.86387699702755,128,6279.948103998322,
76,short,304.149913998117,128,6280.090173997451,
85,short,300.59092699957546,128,6279.608008997457,
19,short,307.00605399761116,128,6284.074798000802,
78,short,304.0178500014008,128,6280.59030499935,
27,short,306.58292199950665,128,6284.076021001965,
96,short,145.8579419995658,128,6076.870755998243,
98,short,125.88950200006366,128,6077.177246999781,
99,short,125.74756300091394,128,6077.975792999496,
100,short,124.98980199961807,128,6078.036414997769,
101,short,124.64161699972465,128,6077.8365839978505,
102,short,124.44413300181623,128,6078.002808000747,
103,short,124.19076399964979,128,6077.876412000478,
106,short,123.87135099925217,128,6077.476291000494,
104,short,124.7477010001603,128,6078.086502002407,
105,short,124.61443500069436,128,6078.079857001285,
