request_id,type,ttft_ms,tokens_received,total_ms,error
89,short,135.30884200008586,128,6106.881883999449,
91,short,182.04956800036598,128,6202.627736001887,
33,short,185.42026200157125,128,6206.287085002259,
34,short,185.2153769978031,128,6206.620631997794,
93,short,181.58644000141066,128,6204.820457001915,
35,short,185.17898600111948,128,6208.371240001725,
92,short,182.13387099967804,128,6205.551682000078,
94,short,181.74988200189546,128,6207.048649001081,
37,short,184.9853419989813,128,6210.644856000727,
36,short,185.06586300281924,128,6211.519716001931,
90,short,182.20188799750758,128,6208.906952997495,
45,short,229.43785700044828,128,6255.769768999016,
44,short,230.62804500295897,128,6256.902429002366,
38,short,231.05382500216365,128,6257.526892000897,
53,short,230.3252590027114,128,6256.986380001763,
6,short,233.1070020009065,128,6260.087531998579,
54,short,230.44488000232377,128,6257.658866001293,
43,short,231.1422329985362,128,6260.184028997173,
64,short,227.8784510017431,128,6259.268426001654,
42,short,229.59526399790775,128,6260.7081859969185,
95,short,227.84330599824898,128,6258.054765999987,
2,short,233.24636700272094,128,6263.634453000122,
39,short,231.0581630008528,128,6261.650480002572,
58,short,230.05268199995044,128,6260.850606999156,
59,short,230.09369099963806,128,6261.135667999042,
55,short,230.36795100051677,128,6261.676064001222,
4,short,233.35209500146448,128,6264.808181000262,
10,short,231.59294899960514,128,6264.70141900063,
11,short,232.4598960003641,128,6264.917844000593,
7,short,232.796602002054,128,6265.3726850003295,
41,short,231.03064699898823,128,6263.931491001131,
5,short,233.12765900118393,128,6266.236755000136,
60,short,230.00291799689876,128,6263.411338997685,
52,short,230.53083699778654,128,6264.166671000567,
46,short,230.90754799704882,128,6264.774317998672,
47,short,230.89582700049505,128,6265.102134999324,
62,short,228.5036199973547,128,6264.5260199969925,
9,short,231.63315000056173,128,6267.7325069998915,
61,short,228.5862669996277,128,6265.001536001364,
49,short,229.27544299818692,128,6265.889742997388,
8,short,231.62370200225268,128,6268.50154800195,
3,short,232.0174140004383,128,6269.056296001509,
50,short,229.26856399863027,128,6266.554624999117,
51,short,230.1409350002359,128,6266.717905000405,
57,short,229.8603839990392,128,6266.681315999449,
63,short,229.60418300135643,128,6266.643857001327,
48,short,230.43806399800815,128,6267.693481997412,
40,short,230.91963100159774,128,6268.357281001954,
56,short,230.10159299883526,128,6267.840734999481,
1,short,233.72760999700404,128,6271.600153999316,
75,short,275.8208809973439,128,6292.200414998661,
24,short,280.63024500079337,128,6296.109104998322,
18,short,280.66199499880895,128,6296.759635999479,
19,short,280.62058100113063,128,6296.964201002993,
72,short,276.0968900001899,128,6294.305084000371,
87,short,278.3711769989168,128,6293.546095999773,
66,short,276.5131290034333,128,6295.074147001287,
70,short,278.16937799798325,128,6295.107360998372,
21,short,280.85619500052417,128,6298.002354000346,
76,short,279.1085019998718,128,6295.155521998822,
0,short,283.66856099819415,128,6301.213599999755,
74,short,277.9401610023342,128,6300.306624001678,
23,short,280.803214001935,128,6303.461087001779,
29,short,280.48570299870335,128,6303.357832999609,
12,short,282.8595899991342,128,6304.552825000428,
25,short,278.8413659982325,128,6304.009143001167,
79,short,278.9685070019914,128,6301.194249001128,
73,short,277.7400420018239,128,6306.457022001268,
82,short,277.5563420000253,128,6306.2554850002925,
86,short,278.59707600146066,128,6306.255727999087,
88,short,277.1593549987301,128,6306.353030999162,
68,short,276.5918369987048,128,6307.818513996608,
81,short,278.91532399735297,128,6307.327432998136,
14,short,279.65337799832923,128,6311.350732998108,
65,short,276.7650580026384,128,6308.734152000397,
83,short,275.80843399846344,128,6308.019924999826,
77,short,277.5445200022659,128,6308.85167499946,
20,short,281.9737960016937,128,6312.282855000376,
84,short,278.77675800118595,128,6309.022687000834,
31,short,280.3994900023099,128,6312.166060000891,
78,short,277.8573290015629,128,6309.838172001037,
22,short,282.2175859982963,128,6313.216098998964,
17,short,280.90131700082566,128,6313.72851299966,
28,short,280.2977649989771,128,6313.391057999979,
85,short,276.8195730022853,128,6310.496600002807,
30,short,280.5114219991083,128,6313.7240649994055,
32,short,280.0807839994377,128,6313.839307000308,
27,short,280.08129999943776,128,6314.398737002193,
71,short,277.71090699752676,128,6312.292222999531,
26,short,281.5866279997863,128,6314.983960000973,
16,short,282.55287499996484,128,6315.816898000776,
80,short,278.6019680024765,128,6312.526978003007,
67,short,279.36432600108674,128,6313.49638300162,
13,short,281.26395199797116,128,6316.7667019988585,
69,short,279.3121050017362,128,6313.887087999319,
15,short,282.7378949987178,128,6317.149110000173,
96,short,158.10210799827473,128,6081.806997000967,
98,short,122.8176800032088,128,6080.355803002021,
99,short,122.51431799813872,128,6080.570862999593,
100,short,120.85559100160026,128,6079.786951002461,
101,short,120.19093699927907,128,6081.005521999032,
102,short,120.22973300190642,128,6081.055718001153,
104,short,118.04550799934077,128,6081.688054000551,
105,short,117.2915870010911,128,6081.47015600116,
97,short,123.0490150010155,128,6090.855604998069,
106,short,116.9473870031652,128,6085.217809002643,
103,short,118.76710599972284,128,6087.314868000249,
107,short,146.87873300135834,128,6179.732275002607,
108,short,192.64818200099398,128,6223.193619000085,
109,short,193.55923300099676,128,6223.658401999273,
110,short,193.68874299834715,128,6223.929649000638,
111,short,193.65398599984474,128,6223.925447997317,
112,short,194.00546500037308,128,6224.517514001491,
113,short,192.3237289993267,128,6223.036210001737,
114,short,192.5420480001776,128,6223.242015999858,
115,short,188.61418000233243,128,6223.366648002411,
116,short,188.41275700106053,128,6223.373233002349,
117,short,189.92655599868158,128,6223.736699001165,
118,short,189.94859799931874,128,6223.942452001211,
119,short,189.80864200057113,128,6224.046638002619,
120,short,189.49904900000547,128,6223.977105000813,
121,short,190.01664500319748,128,6224.4384350015025,
123,short,189.91301099958946,128,6224.374180001178,
124,short,186.92775599993183,128,6231.513301001542,
125,short,187.33071199676488,128,6231.5552339969145,
126,short,187.24475399721996,128,6231.349174999195,
127,short,187.88897400008864,128,6231.569235998904,
128,short,187.642909000715,128,6231.466429999273,
129,short,187.43900600020424,128,6231.484960000671,
130,short,187.607162999484,128,6231.537490999472,
131,short,187.46294899756322,128,6231.556898997951,
132,short,187.46307300170884,128,6231.660433000798,
133,short,183.70929199954844,128,6231.678658998135,
134,short,183.6649800025043,128,6231.674133003253,
135,short,183.53406000096584,128,6231.709319999936,
136,short,183.33755600178847,128,6231.645112999104,
137,short,183.3763539980282,128,6231.722338001418,
138,short,183.22531299781986,128,6231.705905000126,
139,short,183.12253699696157,128,6231.709024999873,
140,short,182.9396020002605,128,6231.68142799841,
141,short,182.69778700050665,128,6231.663298000058,
122,short,189.87576700237696,128,6237.606135000533,
147,short,205.8411040015926,128,6232.590016999893,
148,short,208.8209210014611,128,6232.598820999556,
149,short,207.13651400001254,128,6232.6128049971885,
150,short,207.00217400008114,128,6232.649453999329,
151,short,204.93503299803706,128,6232.712676999654,
152,short,211.07793200280867,128,6232.665055002144,
142,short,239.5190930001263,128,6261.32960799805,
143,short,239.3785670028592,128,6261.330148001434,
153,short,204.78959699903498,128,6233.268556999974,
154,short,207.74798999991617,128,6233.2976830002735,
144,short,239.12200800259598,128,6262.78711300256,
155,short,207.62050900157192,128,6234.575564001716,
156,short,210.52178399986587,128,6234.595296999032,
157,short,202.65371599816717,128,6230.070597001031,
145,short,238.87648299933062,128,6263.416587997199,
159,short,202.28141900224728,128,6230.01381100039,
158,short,202.42947900260333,128,6230.549268999312,
160,short,202.1480799994606,128,6230.440127998008,
162,short,198.3239280016278,128,6230.2709329997015,
190,short,188.82642399694305,128,6218.478847997176,
163,short,199.75727599739912,128,6225.959598999907,
164,short,195.02461999945808,128,6225.94973699961,
165,short,196.34337399838842,128,6225.958918999822,
166,short,199.12467000176548,128,6226.874694999424,
167,short,195.90675699873827,128,6226.873016999889,
168,short,192.34279599913862,128,6226.924147002137,
169,short,198.45133300259477,128,6226.862856001389,
170,short,191.89988500147592,128,6226.789781001571,
171,short,191.71896699845092,128,6226.701816998684,
172,short,191.26900099945487,128,6227.272889998858,
173,short,192.49145499998122,128,6227.200568002445,
174,short,195.01227400178323,128,6227.1747490012785,
175,short,196.68004500272218,128,6227.158377001615,
176,short,193.53341500027454,128,6227.12249200049,
177,short,193.56266099930508,128,6227.082163997693,
178,short,195.9939310036134,128,6227.038716002426,
