request_id,type,ttft_ms,tokens_received,total_ms,error
40,short,291.4763270000549,128,8086.321879000025,
42,short,291.5151410015824,128,8086.767526001495,
44,short,291.43484700034605,128,8086.9392780005,
36,short,292.2420399991097,128,8087.8470099996775,
47,short,291.7217710000841,128,8090.213957000742,
46,short,291.144599999825,128,8090.688033000333,
45,short,291.4137389998359,128,8091.257093001332,
34,short,292.3937060004391,128,8092.218828000114,
38,short,292.1924049987865,128,8092.206846999034,
41,short,291.70342500037805,128,8092.491552000865,
43,short,291.8533109987038,128,8092.633633999867,
39,short,290.96556900003634,128,8093.219071000931,
35,short,291.84539199923165,128,8093.739199999618,
37,short,291.93617799865024,128,8094.125071000235,
2,short,354.3722209997213,128,8149.507711999831,
3,short,355.0816750012018,128,8152.31691200097,
1,short,355.6286739985808,128,8153.558484998939,
9,short,457.08643599937204,128,8273.394605999783,
5,short,459.1195049997623,128,8275.544957999955,
11,short,459.3104329997004,128,8275.882427000397,
8,short,459.58948499901453,128,8281.507001000136,
7,short,460.38883899927896,128,8286.241759000404,
10,short,460.990417001085,128,8286.665969000751,
12,short,460.9085129995947,128,8286.822242000198,
13,short,462.0520540011057,128,8287.28012800093,
4,short,462.5985069997114,128,8288.056547999076,
6,short,462.9277389994968,128,8288.92316800011,
14,short,462.6540830013255,128,8288.775170000008,
15,short,480.21113600043464,128,8335.376189999806,
16,short,481.29746099948534,128,8335.885577000226,
17,short,479.0631050000229,128,8336.587153999062,
18,short,480.0054759998602,128,8337.041127000703,
33,short,618.4161769997445,128,8457.031484000254,
27,short,618.8698519999889,128,8457.824074999735,
26,short,619.1083089997846,128,8458.356593000644,
25,short,619.1814409994549,128,8458.640232000107,
29,short,618.98460699922,128,8458.634410999366,
32,short,618.8304309998784,128,8461.406377000458,
22,short,619.5835570015333,128,8462.432635000368,
24,short,619.5806580017234,128,8462.64327100107,
0,short,622.6144310003292,128,8465.877120999721,
28,short,619.6309110000584,128,8463.12213300007,
19,short,620.4346220001753,128,8464.115086000675,
20,short,620.5186839997623,128,8464.974911999889,
30,short,620.0636760004272,128,8465.278191000834,
23,short,620.5338420004409,128,8466.02576999976,
21,short,620.8004600011918,128,8466.57619400139,
31,short,620.3712629994698,128,8466.868399000305,
96,short,185.72072200004186,128,8143.8528779999615,
97,short,185.79647799924714,128,8144.465018000119,
98,short,185.63498799994704,128,8144.770124999923,
99,short,186.88388900045538,128,8145.747012000356,
100,short,193.59851100125525,128,8143.823528000212,
101,short,193.57760500133736,128,8144.428182000411,
102,short,193.84683499993116,128,8146.411644000182,
103,short,193.64167400090082,128,8146.431704000861,
104,short,193.45360599982087,128,8146.432919998915,
105,short,193.63985800009686,128,8146.447858000101,
106,short,193.453051000688,128,8149.448139000015,
107,short,193.26349799848686,128,8149.4949589996395,
108,short,193.0669819994364,128,8149.509138000212,
109,short,192.8685040002165,128,8149.529911999707,
110,short,183.4849690003466,128,8143.0036519996065,
111,short,184.6193109995511,128,8147.082769000917,
112,short,185.07616799979587,128,8147.146634999444,
113,short,185.38931500006584,128,8147.44961299948,
114,short,187.6761080002325,128,8149.089630000162,
115,short,187.1347539999988,128,8148.833793000449,
116,short,181.69469499844126,128,8143.629778998729,
117,short,177.59222899985616,128,8139.332996999656,
118,short,177.69939299978432,128,8139.282824000475,
119,short,177.46711599829723,128,8139.237625999158,
120,short,177.4494040000718,128,8139.225943001293,
121,short,177.7799209994555,128,8139.33310900029,
122,short,179.93516900060058,128,8139.368734000527,
123,short,179.73629200059804,128,8139.372016999914,
124,short,181.6183680002723,128,8148.658363999857,
125,short,181.3046610004676,128,8148.681398000917,
126,short,180.89275499914947,128,8148.529176000011,
127,short,180.5783350009733,128,8148.4858189996885,
128,short,180.87344000014127,128,8150.212632999683,
129,short,180.54137000035553,128,8150.218667000445,
130,short,180.2488869998342,128,8150.161063000269,
131,short,180.03943100120523,128,8150.145358000373,
132,short,179.8504739999771,128,8150.138953000351,
133,short,179.64214499988884,128,8150.169058000756,
134,short,179.40119900049467,128,8150.181470000462,
135,short,179.19402299958165,128,8150.187532999553,
136,short,178.98930699993798,128,8150.171066999974,
137,short,178.78136199942674,128,8150.199409999914,
138,short,178.6051100007171,128,8150.220694000382,
139,short,177.8260719984246,128,8149.620038999274,
140,short,177.0721790016978,128,8149.06131600037,
141,short,176.79839999982505,128,8148.984868001207,
142,short,176.51012600072136,128,8148.866128000009,
143,short,175.7812340001692,128,8148.330902000453,
144,short,189.19736899988493,128,8334.245115000158,
145,short,188.2262119997904,128,8333.634505999726,
146,short,187.67935300093086,128,8333.451305999915,
147,short,189.83278400082781,128,8332.431273000111,
148,short,189.09532799989393,128,8331.715091999286,
149,short,188.46137800028373,128,8331.049812999481,
150,short,186.65243900068162,128,8329.05431600011,
151,short,186.43094900107826,128,8329.018974000064,
152,short,186.24258199997712,128,8329.011120998985,
153,short,186.54077000064717,128,8329.00535600129,
154,short,183.35174699859635,128,8326.006338998923,
155,short,183.12084500030323,128,8325.961822998579,
156,short,182.91414200029976,128,8325.947090999762,
157,short,182.70916899928125,128,8325.934020000204,
158,short,189.0678769996157,128,8333.101387999704,
159,short,186.20288400052232,128,8331.39854699948,
160,short,186.39729999995325,128,8335.207927999363,
161,short,188.13299599969469,128,8333.284485001059,
162,short,188.76347200057353,128,8331.636364000587,
163,short,188.4826030000113,128,8331.91212299971,
164,short,188.2476040009351,128,8332.219574000192,
165,short,188.44362800155068,128,8332.94426500106,
166,short,188.63138900087506,128,8336.45476700076,
167,short,188.44401400019706,128,8336.496381998586,
168,short,188.39474099877407,128,8336.49989100013,
169,short,188.09550399964792,128,8336.3865980009,
170,short,188.8347469994187,128,8342.751557998781,
171,short,188.45048399998632,128,8342.662201999701,
172,short,184.73102999996627,128,8336.013735999586,
173,short,184.39936699905957,128,8337.080150000475,
174,short,184.21961999956693,128,8339.746863999608,
175,short,184.00984700019762,128,8339.844211999662,
176,short,198.15182500133233,128,8342.410376000771,
177,short,203.52056499905302,128,8342.424405998827,
178,short,203.30508499864663,128,8342.424939999546,
179,short,203.1129859988141,128,8342.42320299927,
180,short,202.93356599904655,128,8342.425271999673,
181,short,199.96723500116786,128,8339.692801000638,
182,short,199.68739000069036,128,8339.637032999235,
183,short,199.47273199977644,128,8339.620291999381,
184,short,199.28038100078993,128,8339.631086999361,
185,short,199.04462399972545,128,8339.596480998807,
186,short,200.91134299946134,128,8339.57637200001,
187,short,200.7384490007098,128,8339.571548000094,
188,short,200.53614899916283,128,8339.606432000437,
189,short,200.36021200030518,128,8339.625557000545,
190,short,200.19761899857258,128,8339.633871999467,
191,short,200.0117660008982,128,8339.642947999891,
90,long,133.14751799953228,512,32330.46609399935,
95,long,286.28344899880176,512,32665.019360998485,
94,long,286.2812710009166,512,32668.417659000625,
